platform,title,type,release_year,runtime,main_genre_clean,imdb_score,imdb_votes
Netflix,Swearnet Live,MOVIE,2014,75,comedy,5.3,540
Netflix,Himmatwala,MOVIE,2013,150,comedy,1.7,8648
Netflix,Chhota Bheem & Krishna vs Zimbara,MOVIE,2013,64,animation,9.1,16
Netflix,Theeya Velai Seiyyanum Kumaru,MOVIE,2013,125,comedy,5.3,30
Netflix,A Fairly Odd Summer,MOVIE,2014,66,fantasy,3.8,564
Netflix,Deliha,MOVIE,2014,107,family,4.5,4315
Netflix,Chhota Bheem Neeli Pahaadi,MOVIE,2013,63,animation,8.7,10
Netflix,Four Sisters and a Wedding,MOVIE,2013,126,drama,7.2,816
Netflix,D.L. Hughley: Clear,MOVIE,2014,59,comedy,6.8,253
Netflix,Cold Harbour,MOVIE,2014,76,thriller,5.2,215
Netflix,Confusion Na Wa,MOVIE,2013,105,crime,7.0,38
Netflix,Flower Girl,MOVIE,2013,94,comedy,6.0,108
Netflix,Blind Intersections,MOVIE,2013,87,drama,6.6,176
Netflix,Doctor Bello,MOVIE,2013,95,drama,4.8,54
Netflix,Chhota Bheem Dus pe Dus,MOVIE,2014,62,animation,5.1,23
Netflix,Sigaram Thodu,MOVIE,2014,147,action,6.1,462
Netflix,Starting Over Again,MOVIE,2014,130,comedy,8.3,15
Netflix,Naan Sigappu Manithan,MOVIE,2014,161,drama,6.5,1092
Netflix,The War Against Women,MOVIE,2013,62,documentation,7.3,74
Netflix,The Royal Bengal Tiger,MOVIE,2014,107,thriller,6.8,909
Netflix,Settai,MOVIE,2013,136,comedy,4.5,525
Netflix,Grandmother's Farm,MOVIE,2013,71,comedy,2.9,78
Netflix,Na Bangaaru Talli,MOVIE,2014,116,thriller,7.2,160
Netflix,Wyatt Cenac: Brooklyn,MOVIE,2014,67,comedy,6.3,231
Netflix,Mumbai Delhi Mumbai,MOVIE,2014,120,comedy,5.7,357
Netflix,Hunt for the Wilderpeople,MOVIE,2016,101,drama,7.8,128676
