platform,title,type,release_year,runtime,main_genre_clean,imdb_score,imdb_votes,,
Netflix,Giraffada,MOVIE,2014,85,drama,"6,30",243,,
Netflix,Pagpag: Siyam na Buhay,MOVIE,2013,105,horror,"5,40",326,,
Netflix,Anaamika,MOVIE,2014,124,thriller,"5,50",271,,
Netflix,The Midas Touch,MOVIE,2013,99,comedy,"5,00",190,,
Netflix,Chhota Bheem in the Incan Adventure,MOVIE,2013,64,fantasy,"7,50",32,,
Netflix,Mars at Sunrise,MOVIE,2014,75,drama,"7,80",43,,
Netflix,It Takes a Man and a Woman,MOVIE,2013,120,romance,"6,70",363,,
Netflix,Gori Tere Pyaar Mein,MOVIE,2013,150,comedy,"4,90",3.861,,
Netflix,What the Fish,MOVIE,2013,98,drama,"5,20",211,,
Netflix,A Place in the Stars,MOVIE,2014,112,thriller,"6,20",19,,
Netflix,Heritages,MOVIE,2014,96,drama,"7,30",131,,
Netflix,Trailer Park Boys: Live at the North Pole,MOVIE,2014,88,comedy,"6,70",1.114,,
Netflix,One by Two,MOVIE,2014,139,comedy,"3,90",748,,
Netflix,Romantik Komedi 2: Bekarlığa Veda,MOVIE,2013,105,comedy,"5,10",3.383,,
Netflix,Chhota Bheem the Crown of Valhalla,MOVIE,2013,64,animation,"7,60",15,,
Netflix,The Land of Cards,MOVIE,2013,110,fantasy,"5,50",412,,
Netflix,Gollu Aur Pappu,MOVIE,2014,112,comedy,"3,80",119,,
Netflix,Bobby Jasoos,MOVIE,2014,121,action,"5,50",2.331,,
Netflix,Refugiado,MOVIE,2014,95,thriller,"6,40",373,,
Netflix,Chhota Bheem Aur Hanuman,MOVIE,2013,67,animation,"7,30",36,,
Netflix,That Thing Called Tadhana,MOVIE,2014,110,romance,"7,40",1.050,,
Netflix,Must Be... Love,MOVIE,2013,105,comedy,"6,40",531,,
Netflix,She's Dating the Gangster,MOVIE,2014,105,drama,"7,00",1.100,,
Netflix,Swearnet Live,MOVIE,2014,75,comedy,"5,30",540,,
Netflix,Himmatwala,MOVIE,2013,150,comedy,"1,70",8.648,,
Netflix,Chhota Bheem & Krishna vs Zimbara,MOVIE,2013,64,animation,"9,10",16,,
